"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2021","404.99","397.08","420.57","397.08","4.38B","2.31%"
"01/01/2021","395.85","400.59","413.98","394.40","4.12B","-0.80%"
"12/01/2020","399.03","389.98","403.26","381.63","4.41B","2.48%"
"11/01/2020","389.36","343.20","393.87","341.34","5.99B","13.73%"
"10/01/2020","342.36","361.91","373.58","338.57","4.46B","-5.19%"
"09/01/2020","361.09","367.30","375.92","351.24","4.38B","-1.48%"
"08/01/2020","366.51","356.38","375.48","355.21","3.47B","2.86%"
"07/01/2020","356.33","360.81","380.26","356.28","4.49B","-1.11%"
"06/01/2020","360.34","351.83","375.52","344.91","6.51B","2.85%"
"05/01/2020","350.36","338.71","356.05","322.87","5.69B","3.04%"
"04/01/2020","340.03","316.35","349.22","306.58","5.78B","6.24%"
"03/01/2020","320.06","378.73","389.10","268.57","9.78B","-14.80%"
"02/01/2020","375.65","410.96","433.90","371.20","4.84B","-8.54%"
"01/01/2020","410.71","416.50","425.36","410.43","3.75B","-1.23%"
"12/01/2019","415.84","407.48","420.72","397.18","3.69B","2.06%"
"11/01/2019","407.43","397.34","410.39","397.34","3.91B","2.69%"
"10/01/2019","396.75","393.35","399.88","374.66","4.63B","0.92%"
"09/01/2019","393.15","379.88","393.67","378.15","4.33B","3.60%"
"08/01/2019","379.48","384.93","387.92","361.07","4.42B","-1.63%"
"07/01/2019","385.77","385.34","395.10","384.46","4.12B","0.23%"
"06/01/2019","384.87","368.79","387.87","365.77","3.94B","4.28%"
"05/01/2019","369.06","391.46","391.78","366.64","4.51B","-5.70%"
"04/01/2019","391.35","379.72","392.22","379.72","3.77B","3.23%"
"03/01/2019","379.09","373.48","385.33","369.75","4.40B","1.69%"
"02/01/2019","372.80","359.02","374.11","357.31","3.96B","3.94%"
"01/01/2019","358.67","335.86","360.51","331.80","4.25B","6.23%"
"12/01/2018","337.65","359.56","364.89","327.34","4.13B","-5.55%"
"11/01/2018","357.49","361.73","369.12","349.29","4.68B","-1.14%"
"10/01/2018","361.61","383.18","384.83","348.44","5.30B","-5.63%"
"09/01/2018","383.18","381.92","386.62","371.89","4.22B","0.24%"
"08/01/2018","382.26","391.81","392.26","378.73","4.00B","-2.39%"
"07/01/2018","391.61","378.59","392.69","375.22","4.15B","3.07%"
"06/01/2018","379.93","383.35","393.96","374.38","5.05B","-0.82%"
"05/01/2018","383.06","385.42","397.86","382.14","5.49B","-0.59%"
"04/01/2018","385.32","369.71","385.60","364.36","4.32B","3.90%"
"03/01/2018","370.87","378.65","380.11","362.04","4.91B","-2.31%"
"02/01/2018","379.63","396.43","398.50","367.50","4.70B","-4.00%"
"01/01/2018","395.46","389.15","403.72","386.78","4.55B","1.61%"
"12/01/2017","389.18","386.72","393.40","383.00","3.90B","0.64%"
"11/01/2017","386.69","395.91","398.05","379.94","4.79B","-2.16%"
"10/01/2017","395.22","388.43","395.53","386.44","4.53B","1.82%"
"09/01/2017","388.16","374.56","388.16","371.62","4.08B","3.82%"
"08/01/2017","373.88","378.24","383.23","365.99","3.92B","-1.05%"
"07/01/2017","377.85","379.96","387.89","377.24","4.28B","-0.40%"
"06/01/2017","379.37","389.55","394.68","379.04","5.45B","-2.72%"
"05/01/2017","389.99","386.88","396.55","386.46","5.96B","0.75%"
"04/01/2017","387.09","382.19","388.88","376.23","4.70B","1.56%"
"03/01/2017","381.14","371.52","381.50","371.08","5.91B","2.94%"
"02/01/2017","370.24","361.19","375.43","361.19","4.87B","2.81%"
"01/01/2017","360.12","361.24","368.85","359.92","5.27B","-0.36%"
"12/01/2016","361.42","342.12","361.66","336.36","5.64B","5.68%"
"11/01/2016","341.99","340.04","344.30","327.02","6.26B","0.89%"
"10/01/2016","338.97","342.18","347.29","333.71","5.44B","-1.15%"
"09/01/2016","342.92","344.21","351.77","336.74","5.89B","-0.18%"
"08/01/2016","343.53","342.66","347.54","334.20","5.32B","0.48%"
"07/01/2016","341.89","330.51","344.02","317.24","6.62B","3.64%"
"06/01/2016","329.88","346.92","348.16","307.81","9.06B","-5.06%"
"05/01/2016","347.45","341.56","351.14","328.64","5.99B","1.75%"
"04/01/2016","341.48","335.88","351.51","327.08","6.23B","1.17%"
"03/01/2016","337.54","333.76","347.64","332.41","6.77B","1.08%"
"02/01/2016","333.92","343.51","344.08","302.59","7.44B","-2.44%"
"01/01/2016","342.27","365.48","365.48","320.46","6.36B","-6.44%"
"12/01/2015","365.81","386.36","387.43","349.46","4.98B","-5.09%"
"11/01/2015","385.43","374.29","386.32","366.48","5.31B","2.65%"
"10/01/2015","375.47","349.73","378.57","343.21","5.94B","7.97%"
"09/01/2015","347.77","359.96","368.29","335.44","6.10B","-4.14%"
"08/01/2015","362.79","397.35","404.04","331.98","5.76B","-8.47%"
"07/01/2015","396.37","382.76","408.73","371.33","5.83B","3.95%"
"06/01/2015","381.31","401.08","403.44","378.07","6.19B","-4.64%"
"05/01/2015","399.87","395.26","409.48","381.85","5.70B","1.03%"
"04/01/2015","395.79","396.39","415.18","393.46","5.62B","-0.38%"
"03/01/2015","397.30","391.82","404.51","386.85","6.96B","1.30%"
"02/01/2015","392.21","366.92","392.24","364.26","6.62B","6.85%"
"01/01/2015","367.05","343.95","372.78","330.85","7.13B","7.16%"
