Date,Price,Open,High,Low,Vol.,Change %
11/1/2019,3140.98,"3,050.72","3,154.26","3,050.72",,3.40%
10/1/2019,3037.56,"2,983.69","3,050.10","2,855.94",,2.04%
9/1/2019,2976.74,"2,909.01","3,021.99","2,891.85",,1.72%
8/1/2019,2926.46,"2,980.32","3,013.59","2,822.12",,-1.81%
7/1/2019,2980.38,"2,971.41","3,027.98","2,952.22",,1.31%
6/1/2019,2941.76,"2,751.53","2,964.15","2,728.81",,6.89%
5/1/2019,2752.06,"2,952.33","2,954.13","2,750.52",,-6.58%
4/1/2019,2945.83,"2,848.63","2,949.52","2,848.63",,3.93%
3/1/2019,2834.40,"2,798.22","2,860.31","2,722.27",,1.79%
2/1/2019,2784.49,"2,702.32","2,813.49","2,681.83",,2.97%
1/1/2019,2704.10,"2,476.96","2,708.95","2,443.96",,7.87%
12/1/2018,2506.85,"2,790.50","2,800.18","2,346.58",,-9.18%
11/1/2018,2760.17,"2,717.58","2,815.15","2,631.09",,1.79%
10/1/2018,2711.74,"2,926.29","2,939.86","2,603.54",,-6.94%
9/1/2018,2913.98,"2,896.96","2,940.91","2,864.12",,0.43%
8/1/2018,2901.52,"2,821.17","2,916.50","2,796.34",,3.03%
7/1/2018,2816.29,"2,704.95","2,848.03","2,698.95",,3.60%
6/1/2018,2718.37,"2,718.70","2,791.47","2,691.99",,0.48%
5/1/2018,2705.27,"2,643.64","2,742.24","2,594.62",,2.16%
4/1/2018,2648.05,"2,633.45","2,717.49","2,553.80",,0.27%
3/1/2018,2640.87,"2,715.22","2,801.90","2,585.89",,-2.69%
2/1/2018,2713.83,"2,816.45","2,835.96","2,532.69",,-3.89%
1/1/2018,2823.81,"2,683.73","2,872.87","2,682.36",,5.62%
12/1/2017,2673.61,"2,645.10","2,694.97","2,605.52",,0.98%
11/1/2017,2647.58,"2,583.21","2,657.74","2,557.45",,2.81%
10/1/2017,2575.26,"2,521.20","2,582.98","2,520.40",,2.22%
9/1/2017,2519.36,"2,474.42","2,519.44","2,446.55",,1.93%
8/1/2017,2471.65,"2,477.10","2,490.87","2,417.35",,0.05%
7/1/2017,2470.30,"2,431.39","2,484.04","2,407.70",,1.93%
6/1/2017,2423.41,"2,415.65","2,453.82","2,405.70",,0.48%
5/1/2017,2411.80,"2,388.50","2,418.71","2,352.72",,1.16%
4/1/2017,2384.20,"2,362.34","2,398.16","2,328.95",,0.91%
3/1/2017,2362.72,"2,380.13","2,400.98","2,322.25",,-0.04%
2/1/2017,2363.64,"2,285.59","2,371.54","2,271.65",,3.72%
1/1/2017,2278.87,"2,251.57","2,300.99","2,245.13",,1.79%
12/1/2016,2238.83,"2,200.17","2,277.53","2,187.44",,1.82%
11/1/2016,2198.81,"2,128.68","2,214.10","2,083.79",,3.42%
10/1/2016,2126.15,"2,164.33","2,169.60","2,114.72",,-1.94%
9/1/2016,2168.27,"2,171.33","2,187.87","2,119.12",,-0.12%
8/1/2016,2170.95,"2,173.15","2,193.81","2,147.58",,-0.12%
7/1/2016,2173.60,"2,099.34","2,177.09","2,074.02",,3.56%
6/1/2016,2098.86,"2,093.94","2,120.55","1,991.68",,0.09%
5/1/2016,2096.96,"2,067.17","2,103.48","2,025.91",,1.53%
4/1/2016,2065.30,"2,056.62","2,111.05","2,033.80",,0.27%
3/1/2016,2059.74,"1,937.09","2,072.21","1,937.09",,6.60%
2/1/2016,1932.23,"1,936.94","1,962.96","1,810.10",,-0.41%
1/1/2016,1940.24,"2,038.20","2,038.20","1,812.29",,-5.07%
12/1/2015,2043.94,"2,082.93","2,104.27","1,993.26",,-1.75%
11/1/2015,2080.41,"2,080.76","2,116.48","2,019.39",,0.05%
10/1/2015,2079.36,"1,919.65","2,094.32","1,893.70",,8.30%
9/1/2015,1920.03,"1,970.09","2,020.86","1,871.91",,-2.64%
8/1/2015,1972.18,"2,104.49","2,112.66","1,867.01",,-6.26%
7/1/2015,2103.84,"2,067.00","2,132.82","2,044.02",,1.97%
6/1/2015,2063.11,"2,108.64","2,129.87","2,056.32",,-2.10%
5/1/2015,2107.39,"2,087.38","2,134.72","2,067.93",,1.05%
4/1/2015,2085.51,"2,067.63","2,125.92","2,048.38",,0.85%
3/1/2015,2067.89,"2,105.23","2,117.52","2,039.69",,-1.74%
2/1/2015,2104.50,"1,996.67","2,119.59","1,980.90",,5.49%
1/1/2015,1994.99,"2,058.90","2,072.36","1,988.12",,-3.10%
